Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00453726283569211,1.72906250327983E-08,0.0649766001882711,0,0,0,1.04896989740454,0.00282225875985932,8.86552497723036E-10,2.38090915279792E-06,0.00187495137104294,1.14600980366702E-10,0.0030401364202589,0,0,0,0,0,0,package://sally_original_current/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://sally_original_current/meshes/base_link.STL,,Elevator-1/Elevator Rail-1;Chassis-1/Chassis Length-7;Chassis-1/Chassis L Gusset-6;Chassis-1/Chassis Width-8;Chassis-1/Chassis L Gusset-8;Elevator-1/M5 Triangle Bracket-1;Elevator-1/Elevator Top Plate-2;Elevator-1/Elevator Crossbar-1;Elevator-1/Elevator Top Plate-1;Elevator-1/3040T11_Steel Eyebolt -for Lifting-1;Elevator-1/Elevator Rail-2;Elevator-1/Elevator Top Plate-3;Elevator-1/Elevator Top Plate-4;Elevator-1/M5 Triangle Bracket-2;Chassis-1/Chassis Length-4;Chassis-1/Chassis L Gusset-5;Chassis-1/Chassis L Gusset-7;Chassis-1/Chassis L Gusset-1;Chassis-1/Chassis Width-9;Chassis-1/Chassis L Gusset-3;Chassis-1/Chassis L Gusset-2;Chassis-1/Chassis L Gusset-4;Chassis-1/Shoulder Bolt Spacer-1;Chassis-1/6659K116 10 mm Flanged Sleeve Bearing-1;Chassis-1/6659K116 10 mm Flanged Sleeve Bearing-3;Chassis-1/Shoulder Bolt Spacer-2;Chassis-1/Shoulder Bolt Spacer-4;Chassis-1/6659K116 10 mm Flanged Sleeve Bearing-4;Chassis-1/Shoulder Bolt Spacer-3;Chassis-1/6659K116 10 mm Flanged Sleeve Bearing-2;Elevator-1/Idle Pulley Mount-2;Elevator-1/Idle Pulley Mount-1;Elevator-1/3684N13_Corrosion-Resistant HTD Timing Belt Pulley-3;Elevator-1/Elevator Belt-2;Elevator-1/57155K457_Flanged Ball Bearing-8;Elevator-1/57155K457_Flanged Ball Bearing-9;Elevator-1/57155K457_Flanged Ball Bearing-6;Elevator-1/Elevator Belt-1;Elevator-1/3684N13_Corrosion-Resistant HTD Timing Belt Pulley-2;Elevator-1/57155K457_Flanged Ball Bearing-7;Elevator-1/Dynamixel XM430-W210-T-1;Elevator-1/Elevator Motor Adapter-1;Elevator-1/3684N13_Corrosion-Resistant HTD Timing Belt Pulley-4;Elevator-1/5mm Pulley Shaft-1;Elevator-1/Elevator Motor Adapter-2;Elevator-1/3684N13_Corrosion-Resistant HTD Timing Belt Pulley-5;Elevator-1/5mm Pulley Shaft-2;Elevator-1/Dynamixel XM430-W210-T-2,Base Link Coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_rocker,-5.22693687459341E-06,-0.000511129951603878,-0.00873256816364703,0,0,0,0.178105377900119,2.36960850812547E-05,8.57574377729918E-12,8.46103862437204E-13,0.00108087330540243,-1.31852305714886E-11,0.00108433752464315,0,0,0,0,0,0,package://sally_original_current/meshes/left_rocker.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/left_rocker.STL,,Rocker-1/Rocker Shaft Mount-2;Rocker-1/Rocker Shaft Mount-1;Rocker-1/Rocker Plate-2;Rocker-1/92981A309_Alloy Steel Shoulder Screws-1;Rocker-1/Dynamixel XM430-W210-T-3;Rocker-1/Dynamixel XM430-W210-T-1,Left Rocker Coord,Left Rocker Joint,left_joint,continuous,0,0.15828,0,0,0.116254447147944,0,base_link,0,1,0,,,,,,,,,,,,
left_steer_1,-0.000380743843704789,-0.0375186646478367,-0.0265672449134356,0,0,0,0.0587517184007175,2.06058885040903E-05,-5.875276291738E-08,1.31447006150377E-09,1.48169617401404E-05,1.29528972748089E-07,1.38398085758418E-05,0,0,0,0,0,0,package://sally_original_current/meshes/left_steer_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/left_steer_1.STL,,Rocker-1/Steer Motor Spacer-2;Rocker-1/U-Bracket-2;Rocker-1/Dynamixel XM430-W210-T-4,Steer 1 Coord,Steer 1 Joint,left_steer_joint_1,continuous,0.216593999999999,0,-0.0224999999999997,0,0,0,left_rocker,0,0,1,,,,,,,,,,,,
left_drive_1,2.1869602004343E-07,-0.000416103585449246,1.64435007971031E-08,0,0,0,0.0554840457183498,1.07657718884667E-05,-3.68121576384119E-12,1.31017021930968E-09,1.55957320391394E-05,-5.67818293112038E-11,1.07826753215428E-05,0,0,0,0,0,0,package://sally_original_current/meshes/left_drive_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/left_drive_1.STL,,Rocker-1/9414T6_Set Screw Shaft Collar-2;Rocker-1/6383K213_Ball Bearing-2;Rocker-1/8632T132_D-Profile Rotary Shaft-2;Rocker-1/Magnetic Wheel-2;Rocker-1/Drive Motor Adapter-2;Rocker-1/Wheel Axle-2,Drive 1 Coord,Drive 1 Joint,left_drive_joint_1,continuous,0,0,-0.0413,0,0,-0.0101477697111227,left_steer_1,0,-1,0,,,,,,,,,,,,
left_steer_3,0.000380743832553848,-0.0375186646479415,-0.0265672449134183,0,0,0,0.0587517184007075,2.06058885040941E-05,5.87527627311334E-08,-1.31448055230847E-09,1.48169617401366E-05,1.29528972636925E-07,1.38398085758414E-05,0,0,0,0,0,0,package://sally_original_current/meshes/left_steer_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/left_steer_3.STL,,Rocker-1/Steer Motor Spacer-1;Rocker-1/U-Bracket-1;Rocker-1/Dynamixel XM430-W210-T-2,Steer 3 Coord,Steer 3 Joint,left_steer_joint_3,continuous,-0.216605999999999,0,-0.0224999999999997,0,0,0,left_rocker,0,0,-1,,,,,,,,,,,,
left_drive_3,-2.18674786889306E-07,-0.000416104079055818,1.64531514246224E-08,0,0,0,0.0554840457114122,1.07657718624274E-05,3.62493602602428E-12,-1.31016496044379E-09,1.55957320396784E-05,-5.65988584122618E-11,1.07826752949292E-05,0,0,0,0,0,0,package://sally_original_current/meshes/left_drive_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sally_original_current/meshes/left_drive_3.STL,,Rocker-1/6383K213_Ball Bearing-1;Rocker-1/9414T6_Set Screw Shaft Collar-1;Rocker-1/8632T132_D-Profile Rotary Shaft-1;Rocker-1/Magnetic Wheel-1;Rocker-1/Wheel Axle-1;Rocker-1/Drive Motor Adapter-1,Drive 3 Coord,Drive 3 Joint,left_drive_joint_3,continuous,0,0,-0.0413,0,0,0.0101477697111227,left_steer_3,0,-1,0,,,,,,,,,,,,
right_rocker,5.2269363763733E-06,0.000511129951679984,-0.00873256816386873,0,0,0,0.178105377898082,2.36960850810603E-05,8.57568168386881E-12,-8.46204558666885E-13,0.00108087330540239,1.31852885197408E-11,0.00108433752464292,0,0,0,0,0,0,package://sally_original_current/meshes/right_rocker.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/right_rocker.STL,,Rocker-2/Rocker Plate-2;Rocker-2/Rocker Shaft Mount-1;Rocker-2/Rocker Shaft Mount-2;Rocker-2/92981A309_Alloy Steel Shoulder Screws-1;Rocker-2/Dynamixel XM430-W210-T-3;Rocker-2/Dynamixel XM430-W210-T-1,Right Rocker Coord,Right Rocker Joint,right_joint,continuous,0,-0.15828,0,0,-0.00822664952526456,0,base_link,0,-1,0,,,,,,,,,,,,
right_steer_2,-0.000380743832546881,0.0375186646479471,-0.0265672449134269,0,0,0,0.0587517184007206,2.06058885040943E-05,5.87527627323373E-08,1.31448055200154E-09,1.48169617401373E-05,-1.29528972639071E-07,1.38398085758421E-05,0,0,0,0,0,0,package://sally_original_current/meshes/right_steer_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/right_steer_2.STL,,Rocker-2/Steer Motor Spacer-1;Rocker-2/U-Bracket-1;Rocker-2/Dynamixel XM430-W210-T-2,Steer 2 Coord,Steer 2 Joint,right_steer_joint_2,continuous,0.216605999999999,0,-0.0225,0,0,0,right_rocker,0,0,-1,,,,,,,,,,,,
right_drive_2,2.18671347695931E-07,0.000416104105907172,1.64491436582814E-08,0,0,0,0.0554840456798707,1.07657718674878E-05,3.62508957663341E-12,1.31016532280365E-09,1.55957320392295E-05,5.65998304570102E-11,1.07826753011392E-05,0,0,0,0,0,0,package://sally_original_current/meshes/right_drive_2.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://sally_original_current/meshes/right_drive_2.STL,,Rocker-2/Magnetic Wheel-1;Rocker-2/6383K213_Ball Bearing-1;Rocker-2/9414T6_Set Screw Shaft Collar-1;Rocker-2/8632T132_D-Profile Rotary Shaft-1;Rocker-2/Drive Motor Adapter-1;Rocker-2/Wheel Axle-1,Drive 2 Coord,Drive 2 Joint,right_drive_joint_2,continuous,0,0,-0.0413,0,0,0.0101477697111226,right_steer_2,0,1,0,,,,,,,,,,,,
right_steer_4,0.000380743843700043,0.0375186646478377,-0.0265672449134261,0,0,0,0.058751718400719,2.06058885040904E-05,-5.87527629186926E-08,-1.31447006150379E-09,1.48169617401408E-05,-1.29528972745986E-07,1.38398085758419E-05,0,0,0,0,0,0,package://sally_original_current/meshes/right_steer_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sally_original_current/meshes/right_steer_4.STL,,Rocker-2/Steer Motor Spacer-2;Rocker-2/U-Bracket-2;Rocker-2/Dynamixel XM430-W210-T-4,Steer 4 Coord,Steer 4 Joint,right_steer_joint_4,continuous,-0.216593999999999,0,-0.0225,0,0,0,right_rocker,0,0,1,,,,,,,,,,,,
